CRI Rank;Country;CRI score;Fatalities in 2014;Rank;Fatalities per 100,000 inhabitants;Fatalities Rank;Losses in PPP (US$ mn);Losses PPP Rank;Losses per unit GDP in percent;Losses GDP Rank
76;Spain;70.67;9;66;0.019;81;256.527;34;0.0163;81
77;St. Kitts and Nevis;70.83;0;101;0.000;101;4.511;90;0.3521;16
78;Oman;71.83;10;62;0.269;19;1.299;101;0.0008;115
79;Marshall Islands;73.00;0;101;0.000;101;0.754;107;0.4145;14
80;Liberia;73.50;0;101;0.000;101;7.005;86;0.1888;26
81;Papua New Guinea;75.00;1;90;0.013;90;15.488;78;0.0833;51
82;Sweden;75.17;1;90;0.010;96;187.331;37;0.0416;66
82;Hungary;75.17;0;101;0.000;101;180.389;38;0.0730;55
84;Fiji;75.83;0;101;0.000;101;10.409;82;0.1406;35
85;Senegal;76.33;0;101;0.000;101;35.001;65;0.1023;45
86;Gabon;76.67;6;71;0.378;16;0.181;121;0.0005;118
87;Ivory Coast;77.50;39;30;0.169;32;0.170;123;0.0002;124
88;Republic of Congo;78.33;10;62;0.234;20;0.105;130;0.0004;119
89;Greece;78.67;5;74;0.045;66;18.307;76;0.0064;95
90;Russian Federation;80.00;11;61;0.008;98;239.533;35;0.0067;94
91;Jamaica;81.00;0;101;0.000;101;18.581;75;0.0771;54
92;Denmark;82.00;0;101;0.000;101;83.470;51;0.0333;69
93;Costa Rica;82.50;0;101;0.000;101;34.501;66;0.0484;63
94;Myanmar;83.17;18;46;0.035;75;4.258;91;0.0017;106
95;Nigeria;84.17;30;37;0.017;84;12.345;80;0.0012;110
96;Djibouti;85.67;0;101;0.000;101;1.810;95;0.0629;58
96;Albania;85.67;3;80;0.108;43;0.238;118;0.0008;115
98;Norway;86.17;0;101;0.000;101;62.017;54;0.0179;80
99;St. Vincent and the Grenadines;86.83;0;101;0.000;101;0.805;106;0.0686;56
100;Austria;87.33;1;90;0.012;93;35.819;64;0.0090;92
101;Trinidad and Tobago;87.67;0;101;0.000;101;12.793;79;0.0294;72
102;Seychelles;89.50;0;101;0.000;101;1.022;104;0.0422;65
103;Sierra Leone;90.00;4;76;0.064;57;0.133;126;0.0010;112
104;Dominican Republic;90.50;2;85;0.020;80;3.525;92;0.0025;103
105;Uganda;91.17;3;80;0.008;97;6.416;87;0.0085;93
106;Algeria;92.00;15;51;0.038;74;0.874;105;0.0002;124
106;Saudi Arabia;92.00;12;56;0.039;73;1.790;96;0.0001;127
108;Lesotho;92.50;0;101;0.000;101;1.256;102;0.0225;75
109;Luxembourg;92.83;0;101;0.000;101;8.171;84;0.0152;85
110;Netherlands;95.17;1;90;0.006;100;19.744;73;0.0024;104
111;Yemen;96.83;3;80;0.011;95;1.684;97;0.0016;107
112;United Arab Emirates;97.33;4;76;0.043;71;0.355;112;0.0001;127
113;Belarus;98.67;6;71;0.063;59;0.000;137;0.0000;133
114;Central African Republic;99.17;0;101;0.000;101;0.332;114;0.0116;89
114;Zambia;99.17;0;101;0.000;101;1.961;94;0.0032;99
116;Jordan;99.33;3;80;0.045;67;0.111;128;0.0001;127
117;Angola;100.00;6;71;0.025;78;0.219;119;0.0001;127
118;Ghana;101.50;4;76;0.015;87;0.337;113;0.0003;123
119;Kenya;101.67;5;74;0.012;94;0.524;110;0.0004;119
120;Lebanon;102.83;0;101;0.000;101;1.302;100;0.0016;107
121;Guyana;103.33;0;101;0.000;101;0.181;121;0.0033;98
122;Kyrgyzstan;103.50;1;90;0.017;85;0.130;127;0.0007;117
123;Swaziland;103.67;0;101;0.000;101;0.311;115;0.0029;102
124;Namibia;104.00;0;101;0.000;101;0.517;111;0.0022;105
125;Ethiopia;104.67;0;101;0.000;101;1.324;99;0.0009;113
126;Cameroon;106.17;0;101;0.000;101;0.640;108;0.0009;113
127;Malta;106.83;0;101;0.000;101;0.201;120;0.0014;109
128;Israel;107.50;1;90;0.012;92;0.267;117;0.0001;127
129;Laos;108.33;1;90;0.014;89;0.059;134;0.0002;124
130;Togo;108.83;0;101;0.000;101;0.111;128;0.0011;111
131;Armenia;111.83;0;101;0.000;101;0.105;130;0.0004;119
132;Rwanda;112.17;0;101;0.000;101;0.072;132;0.0004;119
132;Czech Republic;112.17;0;101;0.000;101;0.308;116;0.0001;127
134;Singapore;115.50;0;101;0.000;101;0.148;124;0.0000;133
135;Kazakhstan;115.67;0;101;0.000;101;0.136;125;0.0000;133
136;Latvia;117.33;0;101;0.000;101;0.015;135;0.0000;133
137;Estonia;117.50;0;101;0.000;101;0.014;136;0.0000;133
138;Azerbaijan;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Bahrain;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Barbados;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Belize;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Benin;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Bhutan;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Botswana;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Brunei Darussalam;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Burkina Faso;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Cape Verde;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Chad;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Cyprus;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Democratic Republic of Timor-Leste;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Dominica;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Egypt;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Equatorial Guinea;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Eritrea;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Finland;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Macedonia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Grenada;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Guinea;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Guinea-Bissau;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Hong Kong;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Iceland;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Iraq;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Kiribati;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Kuwait;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Libya;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Lithuania;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Maldives;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Mali;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Mauritania;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Mauritius;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Micronesia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Moldova;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Mongolia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Montenegro;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Palau;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Qatar;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;San Marino;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Sao Tome and Principe;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;St. Lucia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Suriname;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Bahamas;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Gambia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Tunisia;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Turkmenistan;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Tuvalu;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Ukraine;117.67;0;101;0.000;101;0.000;137;0.0000;133
138;Uzbekistan;117.67;0;101;0.000;101;0.000;137;0.0000;133
;;;;;;;;;;
Total;1.072 events;;;;;;;;;
;7.974 people died;;;;;;;;;
;USD 102.378,9 million in damages;;;;;;;;;
